number,value,datetime_start,datetime_complete,duration,params_crossover_rate,params_elite_count,params_mutation_rate,params_pop_size,params_tournament_size,state
41,6810.9185349083955,2025-06-11 01:04:11.086868,2025-06-11 01:04:20.847263,0 days 00:00:09.760395,0.9,55,0.11,400,3,COMPLETE
42,6839.906560287117,2025-06-11 01:04:20.847722,2025-06-11 01:04:30.931399,0 days 00:00:10.083677,1.0,46,0.11,400,3,COMPLETE
43,6743.5475947677,2025-06-11 01:04:30.931934,2025-06-11 01:04:41.260581,0 days 00:00:10.328647,0.8,51,0.11,400,4,COMPLETE
44,6899.133471254303,2025-06-11 01:04:41.261063,2025-06-11 01:04:51.740549,0 days 00:00:10.479486,0.9,33,0.11,400,5,COMPLETE
45,6833.732859358439,2025-06-11 01:04:51.740884,2025-06-11 01:05:01.903594,0 days 00:00:10.162710,1.0,10,0.11,100,2,COMPLETE
46,6687.736298696473,2025-06-11 01:05:01.903931,2025-06-11 01:05:11.476502,0 days 00:00:09.572571,0.8,56,0.11,400,3,COMPLETE
47,6680.528676988436,2025-06-11 01:05:11.476903,2025-06-11 01:05:21.446772,0 days 00:00:09.969869,0.9,27,0.11,400,4,COMPLETE
48,6740.507724478249,2025-06-11 01:05:21.447216,2025-06-11 01:05:30.804189,0 days 00:00:09.356973,0.9,44,0.11,400,5,COMPLETE
49,6648.500497426988,2025-06-11 01:05:30.804720,2025-06-11 01:05:41.107260,0 days 00:00:10.302540,1.0,6,0.11,50,3,COMPLETE
50,7045.598518328664,2025-06-11 01:05:41.107652,2025-06-11 01:05:50.496886,0 days 00:00:09.389234,1.0,3,0.11,50,2,COMPLETE
51,6750.026383465185,2025-06-11 01:05:50.497414,2025-06-11 01:06:00.312760,0 days 00:00:09.815346,1.0,6,0.11,50,3,COMPLETE
52,7029.037038041478,2025-06-11 01:06:00.313180,2025-06-11 01:06:11.038736,0 days 00:00:10.725556,1.0,2,0.11,50,3,COMPLETE
53,7066.628247526761,2025-06-11 01:06:11.039179,2025-06-11 01:06:21.422598,0 days 00:00:10.383419,0.9,5,0.11,50,10,COMPLETE
