number,value,datetime_start,datetime_complete,duration,params_ideas_per_cluster,params_n_clusters,params_pop_size,params_remove_rate,state
42,10744.880906708175,2025-06-11 23:05:44.932057,2025-06-11 23:05:48.373839,0 days 00:00:03.441782,4,6,30,0.4,COMPLETE
43,11035.458969719059,2025-06-11 23:05:48.374212,2025-06-11 23:05:51.114955,0 days 00:00:02.740743,5,7,30,0.2,COMPLETE
44,10744.880906708175,2025-06-11 23:05:51.115376,2025-06-11 23:05:55.879733,0 days 00:00:04.764357,6,4,30,0.35,COMPLETE
45,10875.289089573418,2025-06-11 23:05:55.880136,2025-06-11 23:06:01.971531,0 days 00:00:06.091395,1,5,30,0.45000000000000007,COMPLETE
46,10744.880906708175,2025-06-11 23:06:01.971996,2025-06-11 23:06:06.480645,0 days 00:00:04.508649,4,8,20,0.25,COMPLETE
47,10744.880906708175,2025-06-11 23:06:06.481071,2025-06-11 23:06:11.012114,0 days 00:00:04.531043,5,6,30,0.55,COMPLETE
48,10744.880906708175,2025-06-11 23:06:11.012624,2025-06-11 23:06:15.969907,0 days 00:00:04.957283,3,7,20,0.4,COMPLETE
49,10748.647319112162,2025-06-11 23:06:15.970322,2025-06-11 23:06:18.286786,0 days 00:00:02.316464,1,5,30,0.15000000000000002,COMPLETE
50,10748.647319112162,2025-06-11 23:06:18.287440,2025-06-11 23:06:30.172232,0 days 00:00:11.884792,2,3,20,0.45000000000000007,COMPLETE
51,10744.880906708175,2025-06-11 23:06:30.172616,2025-06-11 23:06:35.723257,0 days 00:00:05.550641,10,8,50,0.55,COMPLETE
52,10744.880906708175,2025-06-11 23:06:35.723736,2025-06-11 23:06:49.728698,0 days 00:00:14.004962,9,7,50,0.6,COMPLETE
53,10744.880906708175,2025-06-11 23:06:49.729095,2025-06-11 23:06:53.222463,0 days 00:00:03.493368,10,7,50,0.5,COMPLETE
54,10744.880906708175,2025-06-11 23:06:53.223114,2025-06-11 23:07:01.190794,0 days 00:00:07.967680,9,8,50,0.6,COMPLETE
55,10744.880906708175,2025-06-11 23:07:01.191217,2025-06-11 23:07:05.729044,0 days 00:00:04.537827,10,6,20,0.6,COMPLETE
56,10744.880906708175,2025-06-11 23:07:05.729440,2025-06-11 23:07:10.042819,0 days 00:00:04.313379,8,7,20,0.55,COMPLETE
57,10744.880906708175,2025-06-11 23:07:10.043266,2025-06-11 23:07:14.994633,0 days 00:00:04.951367,6,8,50,0.5,COMPLETE
58,10744.880906708175,2025-06-11 23:07:14.995274,2025-06-11 23:07:22.394759,0 days 00:00:07.399485,9,4,30,0.55,COMPLETE
59,10744.880906708175,2025-06-11 23:07:22.395156,2025-06-11 23:07:26.307906,0 days 00:00:03.912750,7,6,20,0.4,COMPLETE
60,10744.880906708175,2025-06-11 23:07:26.308357,2025-06-11 23:07:29.687365,0 days 00:00:03.379008,2,7,50,0.30000000000000004,COMPLETE
61,10744.880906708175,2025-06-11 23:07:29.687762,2025-06-11 23:07:34.621541,0 days 00:00:04.933779,7,8,30,0.6,COMPLETE
62,10744.880906708175,2025-06-11 23:07:34.622014,2025-06-11 23:07:40.257705,0 days 00:00:05.635691,8,8,30,0.55,COMPLETE
63,10744.880906708175,2025-06-11 23:07:40.258148,2025-06-11 23:07:46.082452,0 days 00:00:05.824304,10,8,30,0.6,COMPLETE
